,i,v,x,E,EKS,ekin,t
0,0,"[[ 2.39504178e-06  2.39504178e-06  2.39504178e-06]
 [-2.39504178e-06 -2.39504178e-06 -2.39504178e-06]]","[[5.98800191e-06 5.98800191e-06 5.98800191e-06]
 [2.56499401e+00 2.56499401e+00 2.56499401e+00]]",-8.241584103931002,-8.241584984958987,8.810279841435488e-07,0
1,1,"[[ 4.78964438e-06  4.78964438e-06  4.78964438e-06]
 [-4.78964438e-06 -4.78964438e-06 -4.78964438e-06]]","[[2.39504178e-05 2.39504178e-05 2.39504178e-05]
 [2.56497605e+00 2.56497605e+00 2.56497605e+00]]",-8.241584104063277,-8.241587627529027,3.5234657506838583e-06,5
2,2,"[[ 7.18367597e-06  7.18367597e-06  7.18367597e-06]
 [-7.18367597e-06 -7.18367597e-06 -7.18367597e-06]]","[[5.38844457e-05 5.38844457e-05 5.38844457e-05]
 [2.56494612e+00 2.56494612e+00 2.56494612e+00]]",-8.24158410432033,-8.241592030373583,7.926053253069372e-06,10
3,3,"[[ 9.57664626e-06  9.57664626e-06  9.57664626e-06]
 [-9.57664626e-06 -9.57664626e-06 -9.57664626e-06]]","[[9.57871775e-05 9.57871775e-05 9.57871775e-05]
 [2.56490421e+00 2.56490421e+00 2.56490421e+00]]",-8.24158410718654,-8.241598193274898,1.4086088358408837e-05,15
4,4,"[[ 1.19680106e-05  1.19680106e-05  1.19680106e-05]
 [-1.19680106e-05 -1.19680106e-05 -1.19680106e-05]]","[[1.49650908e-04 1.49650908e-04 1.49650908e-04]
 [2.56485035e+00 2.56485035e+00 2.56485035e+00]]",-8.241584112149177,-8.241606111377626,2.199922845029292e-05,20
5,5,"[[ 1.43576785e-05  1.43576785e-05  1.43576785e-05]
 [-1.43576785e-05 -1.43576785e-05 -1.43576785e-05]]","[[2.15467284e-04 2.15467284e-04 2.15467284e-04]
 [2.56478453e+00 2.56478453e+00 2.56478453e+00]]",-8.241584120669032,-8.241615782203802,3.166153476934835e-05,25
6,6,"[[ 1.67455319e-05  1.67455319e-05  1.67455319e-05]
 [-1.67455319e-05 -1.67455319e-05 -1.67455319e-05]]","[[2.93227693e-04 2.93227693e-04 2.93227693e-04]
 [2.56470677e+00 2.56470677e+00 2.56470677e+00]]",-8.241584133281055,-8.241627201946272,4.3068665218104595e-05,30
7,7,"[[ 1.91331569e-05  1.91331569e-05  1.91331569e-05]
 [-1.91331569e-05 -1.91331569e-05 -1.91331569e-05]]","[[3.82922603e-04 3.82922603e-04 3.82922603e-04]
 [2.56461708e+00 2.56461708e+00 2.56461708e+00]]",-8.241584144656079,-8.241640370603347,5.622594726882712e-05,35
8,8,"[[ 2.15190454e-05  2.15190454e-05  2.15190454e-05]
 [-2.15190454e-05 -2.15190454e-05 -2.15190454e-05]]","[[4.84559262e-04 4.84559262e-04 4.84559262e-04]
 [2.56451544e+00 2.56451544e+00 2.56451544e+00]]",-8.241584153087008,-8.241655275997502,7.112291049369106e-05,40
9,9,"[[ 2.39029558e-05  2.39029558e-05  2.39029558e-05]
 [-2.39029558e-05 -2.39029558e-05 -2.39029558e-05]]","[[5.98113057e-04 5.98113057e-04 5.98113057e-04]
 [2.56440189e+00 2.56440189e+00 2.56440189e+00]]",-8.241584166983568,-8.241671920945421,8.775396185278555e-05,45
10,10,"[[ 2.62860402e-05  2.62860402e-05  2.62860402e-05]
 [-2.62860402e-05 -2.62860402e-05 -2.62860402e-05]]","[[7.23588820e-04 7.23588820e-04 7.23588820e-04]
 [2.56427641e+00 2.56427641e+00 2.56427641e+00]]",-8.241584170593455,-8.24169029465208,0.0001061240586260609,50
11,11,"[[ 2.86665968e-05  2.86665968e-05  2.86665968e-05]
 [-2.86665968e-05 -2.86665968e-05 -2.86665968e-05]]","[[8.60973459e-04 8.60973459e-04 8.60973459e-04]
 [2.56413903e+00 2.56413903e+00 2.56413903e+00]]",-8.241584175917987,-8.241710392319344,0.00012621640135756154,55
12,12,"[[ 3.10445617e-05  3.10445617e-05  3.10445617e-05]
 [-3.10445617e-05 -3.10445617e-05 -3.10445617e-05]]","[[1.01025479e-03 1.01025479e-03 1.01025479e-03]
 [2.56398975e+00 2.56398975e+00 2.56398975e+00]]",-8.241584182126488,-8.241732206960386,0.00014802483389867897,60
13,13,"[[ 3.34196991e-05  3.34196991e-05  3.34196991e-05]
 [-3.34196991e-05 -3.34196991e-05 -3.34196991e-05]]","[[1.17141908e-03 1.17141908e-03 1.17141908e-03]
 [2.56382858e+00 2.56382858e+00 2.56382858e+00]]",-8.241584189498738,-8.241755730754905,0.00017154125616626877,65
14,14,"[[ 3.57918118e-05  3.57918118e-05  3.57918118e-05]
 [-3.57918118e-05 -3.57918118e-05 -3.57918118e-05]]","[[1.34445178e-03 1.34445178e-03 1.34445178e-03]
 [2.56365555e+00 2.56365555e+00 2.56365555e+00]]",-8.24158419795881,-8.24178095527203,0.00019675731322116655,70
15,15,"[[ 3.81606804e-05  3.81606804e-05  3.81606804e-05]
 [-3.81606804e-05 -3.81606804e-05 -3.81606804e-05]]","[[1.52933719e-03 1.52933719e-03 1.52933719e-03]
 [2.56347066e+00 2.56347066e+00 2.56347066e+00]]",-8.241584207626628,-8.241807871445648,0.0002236638190198437,75
16,16,"[[ 4.05260904e-05  4.05260904e-05  4.05260904e-05]
 [-4.05260904e-05 -4.05260904e-05 -4.05260904e-05]]","[[1.72605858e-03 1.72605858e-03 1.72605858e-03]
 [2.56327394e+00 2.56327394e+00 2.56327394e+00]]",-8.24158421855999,-8.2418364695818,0.0002522510218109214,80
17,17,"[[ 4.28878246e-05  4.28878246e-05  4.28878246e-05]
 [-4.28878246e-05 -4.28878246e-05 -4.28878246e-05]]","[[1.9345981e-03 1.9345981e-03 1.9345981e-03]
 [2.5630654e+00 2.5630654e+00 2.5630654e+00]]",-8.241584230848533,-8.241866739369726,0.0002825085211935927,85
18,18,"[[ 4.52456662e-05  4.52456662e-05  4.52456662e-05]
 [-4.52456662e-05 -4.52456662e-05 -4.52456662e-05]]","[[2.15493683e-03 2.15493683e-03 2.15493683e-03]
 [2.56284506e+00 2.56284506e+00 2.56284506e+00]]",-8.241584244564363,-8.241898669868744,0.00031442530438200936,90
19,19,"[[ 4.75993968e-05  4.75993968e-05  4.75993968e-05]
 [-4.75993968e-05 -4.75993968e-05 -4.75993968e-05]]","[[2.38705476e-03 2.38705476e-03 2.38705476e-03]
 [2.56261295e+00 2.56261295e+00 2.56261295e+00]]",-8.241584259789056,-8.241932249509759,0.00034798972070286636,95
20,20,"[[ 4.99487981e-05  4.99487981e-05  4.99487981e-05]
 [-4.99487981e-05 -4.99487981e-05 -4.99487981e-05]]","[[0.00263093 0.00263093 0.00263093]
 [2.56236907 2.56236907 2.56236907]]",-8.241584276592866,-8.241967466094437,0.00038318950157087,100
21,21,"[[ 5.22936506e-05  5.22936506e-05  5.22936506e-05]
 [-5.22936506e-05 -5.22936506e-05 -5.22936506e-05]]","[[0.00288654 0.00288654 0.00288654]
 [2.56211346 2.56211346 2.56211346]]",-8.241584295054501,-8.242004306802084,0.0004200117475831596,105
22,22,"[[ 5.46342306e-05  5.46342306e-05  5.46342306e-05]
 [-5.46342306e-05 -5.46342306e-05 -5.46342306e-05]]","[[0.00315387 0.00315387 0.00315387]
 [2.56184613 2.56184613 2.56184613]]",-8.24158431045772,-8.242042761727504,0.0004584512697851398,110
23,23,"[[ 5.6969997e-05  5.6969997e-05  5.6969997e-05]
 [-5.6969997e-05 -5.6969997e-05 -5.6969997e-05]]","[[0.00343289 0.00343289 0.00343289]
 [2.56156711 2.56156711 2.56156711]]",-8.24158431906196,-8.242082808441106,0.0004984893791452434,115
24,24,"[[ 5.9300581e-05  5.9300581e-05  5.9300581e-05]
 [-5.9300581e-05 -5.9300581e-05 -5.9300581e-05]]","[[0.00372357 0.00372357 0.00372357]
 [2.56127643 2.56127643 2.56127643]]",-8.241584333073684,-8.24212444207213,0.0005401089984470959,120
25,25,"[[ 6.16262253e-05  6.16262253e-05  6.16262253e-05]
 [-6.16262253e-05 -6.16262253e-05 -6.16262253e-05]]","[[0.00402589 0.00402589 0.00402589]
 [2.56097411 2.56097411 2.56097411]]",-8.24158433457309,-8.24216763816549,0.0005833035924004803,125
26,26,"[[ 6.39462261e-05  6.39462261e-05  6.39462261e-05]
 [-6.39462261e-05 -6.39462261e-05 -6.39462261e-05]]","[[0.00433983 0.00433983 0.00433983]
 [2.56066017 2.56066017 2.56066017]]",-8.241584342273498,-8.242212391021118,0.0006280487476203613,130
27,27,"[[ 6.62606571e-05  6.62606571e-05  6.62606571e-05]
 [-6.62606571e-05 -6.62606571e-05 -6.62606571e-05]]","[[0.00466535 0.00466535 0.00466535]
 [2.56033465 2.56033465 2.56033465]]",-8.24158434182115,-8.242258675721022,0.0006743338998719339,135
28,28,"[[ 6.85694007e-05  6.85694007e-05  6.85694007e-05]
 [-6.85694007e-05 -6.85694007e-05 -6.85694007e-05]]","[[0.00500244 0.00500244 0.00500244]
 [2.55999756 2.55999756 2.55999756]]",-8.241584333794721,-8.242306478487665,0.0007221446929429902,140
29,29,"[[ 7.08714698e-05  7.08714698e-05  7.08714698e-05]
 [-7.08714698e-05 -7.08714698e-05 -7.08714698e-05]]","[[0.00535105 0.00535105 0.00535105]
 [2.55964895 2.55964895 2.55964895]]",-8.241584335572153,-8.242355783108048,0.0007714475358946813,145
30,30,"[[ 7.31666745e-05  7.31666745e-05  7.31666745e-05]
 [-7.31666745e-05 -7.31666745e-05 -7.31666745e-05]]","[[0.00571115 0.00571115 0.00571115]
 [2.55928885 2.55928885 2.55928885]]",-8.241584343708366,-8.242406567708324,0.0008222239999572117,150
31,31,"[[ 7.5455139e-05  7.5455139e-05  7.5455139e-05]
 [-7.5455139e-05 -7.5455139e-05 -7.5455139e-05]]","[[0.00608271 0.00608271 0.00608271]
 [2.55891729 2.55891729 2.55891729]]",-8.241584351887921,-8.242458814334977,0.0008744624470570514,155
32,32,"[[ 7.7736631e-05  7.7736631e-05  7.7736631e-05]
 [-7.7736631e-05 -7.7736631e-05 -7.7736631e-05]]","[[0.0064657 0.0064657 0.0064657]
 [2.5585343 2.5585343 2.5585343]]",-8.241584360322086,-8.242512503433925,0.0009281431118395439,160
33,33,"[[ 8.0010903e-05  8.0010903e-05  8.0010903e-05]
 [-8.0010903e-05 -8.0010903e-05 -8.0010903e-05]]","[[0.00686008 0.00686008 0.00686008]
 [2.55813992 2.55813992 2.55813992]]",-8.241584369317591,-8.24256761457535,0.00098324525775955,165
