,i,t,x,v,E,EKS,ekin,ekin_u
0,0,0,"[[5.98787478e-06 5.98787478e-06 5.98787478e-06]
 [2.56499401e+00 2.56499401e+00 2.56499401e+00]]","[[ 2.39448544e-06  2.39448544e-06  2.39448544e-06]
 [-2.39448544e-06 -2.39448544e-06 -2.39448544e-06]]",-8.241584104088322,-8.241584984735665,8.806187255353665e-07,2.8616689318124153e-11
1,1,5,"[[2.39448544e-05 2.39448544e-05 2.39448544e-05]
 [2.56497606e+00 2.56497606e+00 2.56497606e+00]]","[[ 4.78660743e-06  4.78660743e-06  4.78660743e-06]
 [-4.78660743e-06 -4.78660743e-06 -4.78660743e-06]]",-8.241584104458743,-8.241587624201426,3.5189989546668833e-06,7.43726097639187e-10
2,2,10,"[[5.38539491e-05 5.38539491e-05 5.38539491e-05]
 [2.56494615e+00 2.56494615e+00 2.56494615e+00]]","[[ 7.1749367e-06  7.1749367e-06  7.1749367e-06]
 [-7.1749367e-06 -7.1749367e-06 -7.1749367e-06]]",-8.241584104720726,-8.24159201662292,7.906780167889258e-06,5.122027545651885e-09
3,3,15,"[[9.56942214e-05 9.56942214e-05 9.56942214e-05]
 [2.56490431e+00 2.56490431e+00 2.56490431e+00]]","[[ 9.55922911e-06  9.55922911e-06  9.55922911e-06]
 [-9.55922911e-06 -9.55922911e-06 -9.55922911e-06]]",-8.241584104937099,-8.241598157711865,1.4034897900354356e-05,1.7876865937292045e-08
4,4,20,"[[1.49446240e-04 1.49446240e-04 1.49446240e-04]
 [2.56485055e+00 2.56485055e+00 2.56485055e+00]]","[[ 1.19400072e-05  1.19400072e-05  1.19400072e-05]
 [-1.19400072e-05 -1.19400072e-05 -1.19400072e-05]]",-8.241584105115711,-8.241606044001763,2.1896398759298888e-05,4.2487291766108675e-08
5,5,25,"[[2.15094293e-04 2.15094293e-04 2.15094293e-04]
 [2.56478491e+00 2.56478491e+00 2.56478491e+00]]","[[ 1.43179359e-05  1.43179359e-05  1.43179359e-05]
 [-1.43179359e-05 -1.43179359e-05 -1.43179359e-05]]",-8.241584105219385,-8.2416156726898,3.148649681125623e-05,8.097360466736409e-08
6,6,30,"[[2.92625599e-04 2.92625599e-04 2.92625599e-04]
 [2.56470737e+00 2.56470737e+00 2.56470737e+00]]","[[ 1.66934036e-05  1.66934036e-05  1.66934036e-05]
 [-1.66934036e-05 -1.66934036e-05 -1.66934036e-05]]",-8.24158410533956,-8.241627042007837,4.280093976329678e-05,1.3572851225752995e-07
7,7,35,"[[3.82028330e-04 3.82028330e-04 3.82028330e-04]
 [2.56461797e+00 2.56461797e+00 2.56461797e+00]]","[[ 1.90665109e-05  1.90665109e-05  1.90665109e-05]
 [-1.90665109e-05 -1.90665109e-05 -1.90665109e-05]]",-8.241584105529371,-8.241640149983494,5.583492882166672e-05,2.09525302238735e-07
8,8,40,"[[4.83290708e-04 4.83290708e-04 4.83290708e-04]
 [2.56451671e+00 2.56451671e+00 2.56451671e+00]]","[[ 2.14373569e-05  2.14373569e-05  2.14373569e-05]
 [-2.14373569e-05 -2.14373569e-05 -2.14373569e-05]]",-8.241584105798553,-8.241654993581337,7.058395593681694e-05,3.0382684635262483e-07
9,9,45,"[[5.96401899e-04 5.96401899e-04 5.96401899e-04]
 [2.56440360e+00 2.56440360e+00 2.56440360e+00]]","[[ 2.38062599e-05  2.38062599e-05  2.38062599e-05]
 [-2.38062599e-05 -2.38062599e-05 -2.38062599e-05]]",-8.241584106193619,-8.241671568437988,8.704540677288591e-05,4.168375975787847e-07
10,10,50,"[[7.21353307e-04 7.21353307e-04 7.21353307e-04]
 [2.56427865e+00 2.56427865e+00 2.56427865e+00]]","[[ 2.61736817e-05  2.61736817e-05  2.61736817e-05]
 [-2.61736817e-05 -2.61736817e-05 -2.61736817e-05]]",-8.241584106691198,-8.24168986825746,0.0001052187526502003,5.428136130236922e-07
11,11,55,"[[8.58138716e-04 8.58138716e-04 8.58138716e-04]
 [2.56414186e+00 2.56414186e+00 2.56414186e+00]]","[[ 2.85399748e-05  2.85399748e-05  2.85399748e-05]
 [-2.85399748e-05 -2.85399748e-05 -2.85399748e-05]]",-8.241584107194612,-8.24170988519441,0.00012510385370750546,6.741460915580182e-07
12,12,60,"[[1.00675306e-03 1.00675306e-03 1.00675306e-03]
 [2.56399325e+00 2.56399325e+00 2.56399325e+00]]","[[ 3.09051943e-05  3.09051943e-05  3.09051943e-05]
 [-3.09051943e-05 -3.09051943e-05 -3.09051943e-05]]",-8.241584107679522,-8.24173161122398,0.00014669877067438548,8.047737841227291e-07
13,13,65,"[[1.16719066e-03 1.16719066e-03 1.16719066e-03]
 [2.56383281e+00 2.56383281e+00 2.56383281e+00]]","[[ 3.32691028e-05  3.32691028e-05  3.32691028e-05]
 [-3.32691028e-05 -3.32691028e-05 -3.32691028e-05]]",-8.241584108174944,-8.241755038561603,0.00016999873682063988,9.316498389040427e-07
14,14,70,"[[1.33944408e-03 1.33944408e-03 1.33944408e-03]
 [2.56366056e+00 2.56366056e+00 2.56366056e+00]]","[[ 3.56313214e-05  3.56313214e-05  3.56313214e-05]
 [-3.56313214e-05 -3.56313214e-05 -3.56313214e-05]]",-8.241584108681911,-8.241780159299463,0.0001949967506645371,1.0538668867688075e-06
15,15,75,"[[1.52350387e-03 1.52350387e-03 1.52350387e-03]
 [2.56347650e+00 2.56347650e+00 2.56347650e+00]]","[[ 3.79914631e-05  3.79914631e-05  3.79914631e-05]
 [-3.79914631e-05 -3.79914631e-05 -3.79914631e-05]]",-8.241584109233434,-8.241806965307761,0.000221684615418181,1.171458908318558e-06
16,16,80,"[[1.71935871e-03 1.71935871e-03 1.71935871e-03]
 [2.56328064e+00 2.56328064e+00 2.56328064e+00]]","[[ 4.0349135e-05  4.0349135e-05  4.0349135e-05]
 [-4.0349135e-05 -4.0349135e-05 -4.0349135e-05]]",-8.241584109884617,-8.24183544771503,0.00025005294486603026,1.2848855466089873e-06
17,17,85,"[[1.92699522e-03 1.92699522e-03 1.92699522e-03]
 [2.56307300e+00 2.56307300e+00 2.56307300e+00]]","[[ 4.27038513e-05  4.27038513e-05  4.27038513e-05]
 [-4.27038513e-05 -4.27038513e-05 -4.27038513e-05]]",-8.241584110612617,-8.241865596151184,0.00028009000101755576,1.3955375487336884e-06
18,18,90,"[[2.14639723e-03 2.14639723e-03 2.14639723e-03]
 [2.56285360e+00 2.56285360e+00 2.56285360e+00]]","[[ 4.50549715e-05  4.50549715e-05  4.50549715e-05]
 [-4.50549715e-05 -4.50549715e-05 -4.50549715e-05]]",-8.241584111375131,-8.241897399046584,0.00031178050446137035,1.5071669918283336e-06
19,19,95,"[[2.37754494e-03 2.37754494e-03 2.37754494e-03]
 [2.56262246e+00 2.56262246e+00 2.56262246e+00]]","[[ 4.74017508e-05  4.74017508e-05  4.74017508e-05]
 [-4.74017508e-05 -4.74017508e-05 -4.74017508e-05]]",-8.241584112176314,-8.241930844221365,0.0003451058183868693,1.6262266635925589e-06
20,20,100,"[[0.00262041 0.00262041 0.00262041]
 [2.56237959 2.56237959 2.56237959]]","[[ 4.97435051e-05  4.97435051e-05  4.97435051e-05]
 [-4.97435051e-05 -4.97435051e-05 -4.97435051e-05]]",-8.241584112990981,-8.24196591891653,0.00038004610411855285,1.7598214322195699e-06
